,training_loss,testing_loss
625,0.32478076,0.34560385
626,0.32479802,0.34559184
627,0.32476848,0.34557995
628,0.32479662,0.3455685
629,0.32478994,0.345555
630,0.32474658,0.34554392
631,0.32477444,0.3455341
632,0.32473415,0.3455206
633,0.32472935,0.34551266
634,0.32473963,0.34549937
635,0.32474333,0.3454913
636,0.32473636,0.34547114
637,0.32472622,0.3454654
638,0.32475093,0.34545028
639,0.32471156,0.34544614
640,0.3247015,0.3454287
641,0.3246643,0.34542334
642,0.3246914,0.34540665
643,0.32463276,0.34540308
644,0.32463688,0.34538412
645,0.32463956,0.3453794
646,0.3246293,0.34536535
647,0.32461154,0.3453548
648,0.3245964,0.3453471
649,0.3245973,0.34533525
650,0.32460174,0.34532836
651,0.32461277,0.34531605
652,0.32457957,0.34530506
653,0.3245681,0.3452889
654,0.3245518,0.34528387
655,0.32455814,0.34527567
656,0.32456654,0.345261
657,0.32452348,0.34525368
658,0.32449687,0.34524584
659,0.32451135,0.34523344
660,0.32448003,0.3452269
661,0.32446674,0.34521383
662,0.3244942,0.34520483
663,0.3244567,0.34519818
664,0.32443756,0.3451809
665,0.32443777,0.34517476
666,0.32441038,0.3451617
667,0.32441086,0.3451541
668,0.32442546,0.3451464
669,0.3243522,0.34513432
670,0.32436728,0.34512332
671,0.3243524,0.345115
672,0.3243539,0.3450992
673,0.32434326,0.34509382
674,0.32433772,0.34508184
675,0.32431608,0.34507313
676,0.32432443,0.34505993
677,0.3243226,0.34505436
678,0.32431477,0.3450458
679,0.324263,0.3450329
680,0.32428262,0.34502125
681,0.3242921,0.34501314
682,0.32429832,0.3450008
683,0.32427078,0.344991
684,0.32424855,0.3449815
685,0.32428694,0.34497538
686,0.32425705,0.3449564
687,0.32423797,0.34495208
688,0.32427764,0.34493724
689,0.3242676,0.3449283
690,0.32429186,0.34491277
691,0.32426855,0.3449073
692,0.32421863,0.34489477
693,0.3242654,0.3448863
694,0.32425332,0.34487942
695,0.32422048,0.3448672
696,0.32425088,0.3448581
697,0.3242723,0.34484643
698,0.32424086,0.34483823
699,0.32423082,0.3448315
700,0.3242269,0.34481826
701,0.3241822,0.3448089
702,0.32421643,0.34480187
703,0.3241869,0.34478983
704,0.32416695,0.3447804
705,0.32416576,0.34476587
706,0.32418618,0.3447565
707,0.3241634,0.34474906
708,0.32414728,0.34473822
709,0.3241537,0.34473264
710,0.32414556,0.3447204
711,0.3241147,0.34470955
712,0.32410377,0.34470084
713,0.32410526,0.34468797
714,0.32406706,0.34468135
715,0.32406077,0.34467104
716,0.32404444,0.34465915
717,0.3240519,0.3446563
718,0.32404783,0.34464815
719,0.32407692,0.34463528
720,0.3240468,0.34462383
721,0.3240544,0.34462005
722,0.3240474,0.3446078
723,0.324035,0.34459737
724,0.32402015,0.34459203
725,0.32403904,0.34458175
726,0.32402423,0.34457037
727,0.32403356,0.34456515
728,0.32402644,0.34455472
729,0.32402375,0.34454483
730,0.32400936,0.34453502
731,0.3240313,0.34453034
732,0.32399163,0.34452182
733,0.3239677,0.34451303
734,0.3239728,0.34450203
735,0.32396483,0.34449673
736,0.32394403,0.3444833
737,0.3239343,0.3444787
738,0.323927,0.34446925
