,training_loss,testing_loss,learning_rate
528,0.010765949,0.011879543,0.001
529,0.01080615,0.0117892185,0.001
530,0.011338849,0.012212481,0.001
531,0.014233811,0.014931759,0.001
532,0.018945148,0.019577203,0.001
533,0.011490447,0.012467262,0.001
534,0.011945292,0.013456118,0.001
535,0.010802542,0.012003091,0.001
536,0.011874261,0.012686874,0.001
537,0.013487345,0.014199185,0.001
538,0.012751295,0.013561444,0.001
539,0.011253272,0.012201994,0.001
540,0.010747607,0.011780689,0.001
541,0.010763725,0.011778614,0.001
542,0.010993364,0.011959381,0.001
543,0.012060134,0.012941803,0.001
544,0.015946373,0.016700933,0.001
545,0.016097836,0.016875463,0.001
546,0.010583015,0.011791675,0.001
547,0.011553102,0.013058419,0.001
548,0.010604891,0.011818447,0.001
549,0.011194533,0.012108804,0.001
550,0.013227862,0.013974564,0.001
551,0.014320676,0.015064092,0.001
552,0.012390998,0.01328576,0.001
553,0.010691759,0.011755247,0.001
554,0.010439097,0.01157484,0.001
555,0.010445239,0.011544832,0.001
556,0.010525998,0.011588883,0.001
557,0.011010145,0.011996347,0.001
558,0.014270889,0.015053227,0.001
559,0.018698605,0.019406473,0.001
560,0.010747034,0.0118610915,0.001
561,0.0118796425,0.013441456,0.001
562,0.010498175,0.01166138,0.001
563,0.011972132,0.012792268,0.001
564,0.012934764,0.013707236,0.001
565,0.011715545,0.0126060825,0.001
566,0.010870934,0.011869884,0.001
567,0.01115902,0.012108399,0.001
568,0.0126746595,0.013525501,0.001
569,0.014540253,0.015359362,0.001
570,0.012498755,0.013436978,0.001
571,0.010418144,0.011559171,0.001
572,0.010382214,0.011645125,0.001
573,0.0103320405,0.01156834,0.001
574,0.010243407,0.01143245,0.001
575,0.010277828,0.011404444,0.001
576,0.011305235,0.012256757,0.001
577,0.017751392,0.018481892,0.001
578,0.015346975,0.016202513,0.001
579,0.011554118,0.013060345,0.001
580,0.010595886,0.011963016,0.001
581,0.011800506,0.012674939,0.001
582,0.012147406,0.013003434,0.001
583,0.010754148,0.011770859,0.001
584,0.010303762,0.011383077,0.001
585,0.010303646,0.011377116,0.001
586,0.010738086,0.011723534,0.001
587,0.012644052,0.0134953745,0.001
588,0.016813459,0.017579693,0.001
589,0.0126537075,0.013613084,0.001
590,0.010740855,0.012142361,0.001
591,0.01072996,0.012167384,0.001
592,0.010339654,0.011425018,0.001
593,0.012075413,0.012925261,0.001
594,0.014060025,0.014805104,0.001
595,0.01244138,0.0133208465,0.001
596,0.010384317,0.011471333,0.001
597,0.010095273,0.011286259,0.001
598,0.010099936,0.011253938,0.001
599,0.010256252,0.011342637,0.001
600,0.011129828,0.012093334,0.001
601,0.015003067,0.015778154,0.001
602,0.015843483,0.016634917,0.001
603,0.010197311,0.0114234835,0.001
604,0.010912789,0.012389455,0.001
605,0.010106729,0.011363347,0.001
606,0.010997243,0.011947832,0.001
607,0.012938687,0.0137398755,0.001
608,0.013834451,0.014606007,0.001
609,0.011608559,0.012554296,0.001
610,0.010158149,0.011281433,0.001
611,0.0099825105,0.011183871,0.001
612,0.0099993665,0.011159238,0.001
613,0.0101389345,0.011239119,0.001
614,0.010887872,0.011870805,0.001
615,0.015149794,0.015918527,0.001
616,0.01603486,0.016813934,0.001
617,0.010150175,0.0114554325,0.001
618,0.010978061,0.012456412,0.001
619,0.010023822,0.01124332,0.001
620,0.011459544,0.0123362,0.001
621,0.012997487,0.01377752,0.001
622,0.012310113,0.013161863,0.001
623,0.010589269,0.011592513,0.001
624,0.010050347,0.011174602,0.001
625,0.010006948,0.011134469,0.001
626,0.010271226,0.01132849,0.001
627,0.011146982,0.012111089,0.001
628,0.014889042,0.015669417,0.001
629,0.014720124,0.015555347,0.001
630,0.010035744,0.011273968,0.001
