,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
147,0.06290229,0.06315559,112.29187250137329,113.55003118515015,0.001
148,0.0625661,0.062793404,113.4376049041748,114.7618293762207,0.001
149,0.061711665,0.061994687,115.60730934143066,117.27192401885986,0.001
150,0.061524123,0.06176715,117.48855113983154,118.39520931243896,0.001
151,0.06152971,0.061777346,115.41268825531006,116.63089990615845,0.001
152,0.06147849,0.061747998,114.12100791931152,115.19879102706909,0.001
153,0.061644882,0.061898336,113.40596675872803,114.4991397857666,0.001
154,0.061694257,0.061961897,112.67266273498535,113.64048719406128,0.001
155,0.062031474,0.06228738,109.86452102661133,110.79027652740479,0.001
156,0.062236555,0.06253898,108.32540988922119,109.83566045761108,0.001
157,0.06263543,0.06292043,107.59615898132324,108.38074684143066,0.001
158,0.062398482,0.06269911,107.65818357467651,108.21175575256348,0.001
159,0.06261737,0.06292423,106.2368631362915,107.57899284362793,0.001
160,0.06232884,0.062634,106.77629709243774,108.03680419921875,0.001
161,0.062225197,0.06253731,106.98516368865967,107.855224609375,0.001
162,0.062401537,0.06267371,106.74244165420532,107.08485841751099,0.001
163,0.0630265,0.06328111,105.47963380813599,106.20489120483398,0.001
164,0.06363971,0.06387661,105.39553165435791,106.21416568756104,0.001
165,0.06274534,0.0630096,105.53387403488159,107.43396282196045,0.001
166,0.0598462,0.060141407,112.01232671737671,113.89949321746826,0.001
167,0.06008846,0.0604065,109.19137001037598,111.65897846221924,0.001
168,0.060352296,0.060686566,107.55213499069214,110.22202968597412,0.001
169,0.060733758,0.061105736,105.61467409133911,108.58900547027588,0.001
170,0.060705844,0.061066493,105.28205633163452,107.88893699645996,0.001
171,0.06132871,0.06166333,103.22831869125366,105.64520359039307,0.001
172,0.061654896,0.062001415,101.87722444534302,104.63906526565552,0.001
173,0.06159733,0.06194618,102.01864242553711,104.64339256286621,0.001
174,0.06197658,0.062293127,101.62941217422485,104.08545732498169,0.001
175,0.060544252,0.06087237,104.11208868026733,107.12467432022095,0.001
176,0.059441943,0.059810393,109.18655395507812,112.2541069984436,0.001
177,0.05941847,0.059797615,107.56411552429199,110.21653413772583,0.001
178,0.05919483,0.059528638,107.76928663253784,110.59725284576416,0.001
179,0.059417054,0.059782825,105.38376569747925,108.41132402420044,0.001
180,0.05969224,0.06007388,104.75889444351196,107.92133808135986,0.001
181,0.059428822,0.05979612,104.09983396530151,106.69060945510864,0.001
182,0.05944117,0.059818655,103.497314453125,106.30191564559937,0.001
183,0.059508894,0.059857775,103.32814455032349,105.85172176361084,0.001
184,0.059264794,0.059636876,103.86030673980713,106.97883367538452,0.001
185,0.058876265,0.059280284,105.74018955230713,109.89296436309814,0.001
186,0.05902319,0.059450388,108.14958810806274,112.72255182266235,0.001
187,0.05871938,0.05914113,105.8685302734375,109.87465381622314,0.001
188,0.05820962,0.058577403,105.52186965942383,108.93471240997314,0.001
189,0.058311302,0.058696415,104.69450950622559,107.9674482345581,0.001
190,0.05883325,0.05925155,102.83041000366211,106.27381801605225,0.001
191,0.058519863,0.0589321,103.52069139480591,106.51607513427734,0.001
192,0.05894906,0.059345596,101.6674280166626,104.95625734329224,0.001
193,0.059109483,0.05952262,100.47986507415771,103.65934371948242,0.001
194,0.05858123,0.05897391,101.53175592422485,104.42253351211548,0.001
195,0.058893222,0.05926631,100.89151859283447,102.86680459976196,0.001
196,0.059172787,0.05953797,99.79173541069031,102.1411657333374,0.001
197,0.05877701,0.059164107,100.22745132446289,102.84075736999512,0.001
198,0.057989072,0.058410082,101.52188539505005,104.76391315460205,0.001
199,0.05731906,0.057758663,105.69084882736206,109.17859077453613,0.001
200,0.057739727,0.058243714,107.02553987503052,111.22182607650757,0.001
201,0.057378385,0.057854623,106.75637722015381,110.70595979690552,0.001
202,0.056906495,0.057355575,105.8377742767334,109.12901163101196,0.001
203,0.056743402,0.057175513,105.43113946914673,107.83298015594482,0.001
204,0.056635983,0.05706285,105.56514263153076,108.338463306427,0.001
205,0.056597408,0.057021555,105.44390678405762,107.89536237716675,0.001
206,0.05701038,0.057444267,103.34744453430176,105.14413118362427,0.001
207,0.0573766,0.057859816,103.72130870819092,106.20357990264893,0.001
208,0.0576444,0.058079217,100.898277759552,103.14580202102661,0.001
209,0.057488047,0.0579901,103.62640619277954,106.5570592880249,0.001
210,0.05731765,0.057748336,101.95162296295166,104.14388179779053,0.001
211,0.05747108,0.057936005,101.80119276046753,104.04524803161621,0.001
212,0.057409246,0.05784995,101.30513906478882,103.5347580909729,0.001
213,0.057038877,0.057498038,102.01964378356934,104.37906980514526,0.001
214,0.056997467,0.057395764,101.1028528213501,102.51966714859009,0.001
215,0.056914866,0.057319287,101.15514993667603,102.20910310745239,0.001
216,0.057266895,0.05761121,99.8542070388794,100.96429586410522,0.001
217,0.056901973,0.057237767,100.38608312606812,101.15433931350708,0.001
218,0.057037797,0.057381123,99.72599744796753,100.30442476272583,0.001
219,0.057236888,0.057592764,99.41256046295166,99.791020154953,0.001
220,0.057427645,0.05776149,100.45753717422485,99.37959909439087,0.001
221,0.056632586,0.056995187,100.5397081375122,101.24372243881226,0.001
222,0.056162573,0.056640454,102.05056667327881,103.13917398452759,0.001
223,0.056431513,0.05697672,105.54400682449341,107.46639966964722,0.001
224,0.055702347,0.056179106,104.05619144439697,106.06927871704102,0.001
225,0.055308048,0.055690974,103.41801643371582,103.94041538238525,0.001
226,0.05520824,0.055551693,103.53848934173584,104.14481163024902,0.001
227,0.054989595,0.055387903,105.48044443130493,106.3815712928772,0.001
228,0.05495662,0.055386905,104.57930564880371,105.86615800857544,0.001
