,Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
24,0.0,0.0,0.1428575,0.5714275,0.0,1.5824299999999999e-06,0.00137804
237,0.0,0.1428570000000001,0.8571424999999999,0.8571424999999998,1.0,1.4422e-06,-2.03386e-05
6844,0.8571399999999999,0.71429,0.42857249999999986,0.8571424999999998,0.0,1.4488200000000001e-06,0.127279
1243,0.14285733333333336,0.1428570000000001,0.7142850000000001,0.7142850000000002,1.0,1.6800999999999998e-06,-0.00010808700000000001
4747,0.5714266666666667,0.71429,0.0,0.7142850000000002,1.0,1.67298e-06,-0.000272955
2458,0.28571399999999997,0.428571,0.1428575,0.7142850000000002,0.0,1.7e-06,0.018385
1785,0.14285733333333336,0.71429,1.0,0.5714275,1.0,1.7e-06,-0.00013175899999999998
3974,0.4285733333333333,1.0,0.0,0.4285725,0.0,1.5097899999999999e-06,0.251195
1621,0.14285733333333336,0.5714299999999998,0.7142850000000001,0.285715,1.0,1.69271e-06,-0.000179643
8051,1.0,0.8571399999999998,1.0,0.1428575,1.0,1.56053e-06,-0.00121028
4963,0.5714266666666667,0.8571399999999998,0.8571424999999999,0.1428575,1.0,1.7e-06,-0.00053999
5300,0.7142866666666666,0.1428570000000001,0.42857249999999986,0.285715,0.0,1.43174e-06,0.28092
2350,0.28571399999999997,0.28571399999999997,0.285715,1.0,0.0,1.57768e-06,0.25957199999999997
5045,0.5714266666666667,1.0,0.42857249999999986,0.285715,1.0,1.68368e-06,-0.00155057
2009,0.14285733333333336,1.0,0.7142850000000001,0.5714275,1.0,1.68548e-06,-0.00146568
406,0.0,0.428571,0.1428575,0.4285725,0.0,1.6297999999999998e-06,0.123528
637,0.0,0.5714299999999998,1.0,0.8571424999999998,1.0,1.62143e-06,-4.1623100000000005e-05
353,0.0,0.28571399999999997,0.8571424999999999,0.0,1.0,1.44352e-06,-3.13178e-05
3881,0.4285733333333333,0.8571399999999998,0.285715,0.5714275,1.0,1.7e-06,-0.00163313
1596,0.14285733333333336,0.5714299999999998,0.42857249999999986,0.8571424999999998,0.0,1.7e-06,0.0111693
5166,0.7142866666666666,0.0,0.285715,1.0,0.0,1.5025999999999998e-06,0.00106262
6271,0.8571399999999999,0.0,1.0,1.0,1.0,1.43174e-06,-0.000148803
2618,0.28571399999999997,0.5714299999999998,0.42857249999999986,0.7142850000000002,0.0,1.7e-06,0.00686959
1784,0.14285733333333336,0.71429,1.0,0.5714275,0.0,1.4e-06,0.0712984
218,0.0,0.1428570000000001,0.7142850000000001,0.7142850000000002,0.0,1.4e-06,0.12747999999999998
190,0.0,0.1428570000000001,0.42857249999999986,1.0,0.0,1.4e-06,0.050949400000000006
2624,0.28571399999999997,0.5714299999999998,0.5714274999999999,0.0,0.0,1.7e-06,0.012849700000000002
4729,0.5714266666666667,0.5714299999999998,1.0,0.5714275,1.0,1.4555e-06,-0.000104535
2227,0.28571399999999997,0.1428570000000001,0.42857249999999986,0.1428575,1.0,1.5636199999999999e-06,-0.000159255
8049,1.0,0.8571399999999998,1.0,0.0,1.0,1.5407299999999997e-06,-0.000897213
2661,0.28571399999999997,0.5714299999999998,0.8571424999999999,0.285715,1.0,1.6231e-06,-0.000127097
3360,0.4285733333333333,0.28571399999999997,0.285715,0.0,0.0,1.55745e-06,0.371791
6503,0.8571399999999999,0.28571399999999997,0.8571424999999999,0.4285725,1.0,1.42657e-06,-0.000234706
