,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
121,0.1039072,0.10451023,153.00124883651733,158.41944217681885,0.001
122,0.10381237,0.104404725,152.03051567077637,157.8021764755249,0.001
123,0.10356939,0.10417968,151.84931755065918,157.7564239501953,0.001
124,0.10332403,0.1039451,151.90171003341675,158.0099582672119,0.001
125,0.10323519,0.103866614,150.9606957435608,156.9077730178833,0.001
126,0.103109024,0.103729226,150.41064023971558,156.3429355621338,0.001
127,0.10291297,0.1035456,149.90702867507935,156.0073733329773,0.001
128,0.10277374,0.10340601,149.37798976898193,155.60418367385864,0.001
129,0.10255105,0.103193,149.22713041305542,155.63756227493286,0.001
130,0.10230448,0.10294511,149.32489395141602,155.75501918792725,0.001
131,0.10221078,0.10286362,148.6501932144165,155.00568151474,0.001
132,0.101932816,0.10260433,148.70222806930542,155.48992156982422,0.001
133,0.101649754,0.10234751,148.9526629447937,156.19664192199707,0.001
134,0.10162386,0.10229645,148.09588193893433,155.31729459762573,0.001
135,0.10152386,0.10220136,147.35443592071533,154.737389087677,0.001
136,0.10133589,0.102018274,147.49051332473755,154.93817329406738,0.001
137,0.101267934,0.10193453,147.0331907272339,154.40157651901245,0.001
138,0.10120236,0.10186689,146.39105796813965,153.63773107528687,0.001
139,0.10106041,0.10170968,145.94496488571167,153.67929935455322,0.001
140,0.10083679,0.101505205,146.05131149291992,153.87755632400513,0.001
141,0.100671805,0.10133271,146.17373943328857,154.18224334716797,0.001
142,0.10049932,0.101218745,145.68195343017578,154.01432514190674,0.001
143,0.10043828,0.101153985,145.05504369735718,153.38019132614136,0.001
144,0.100132346,0.10086657,145.2506184577942,153.80489826202393,0.001
145,0.10010088,0.100824594,144.5804238319397,152.86476612091064,0.001
146,0.09995666,0.10068878,144.2921280860901,152.82156467437744,0.001
147,0.09985521,0.10058259,143.99429559707642,152.50085592269897,0.001
148,0.09975389,0.10048317,143.669855594635,152.2642731666565,0.001
149,0.09962886,0.10033279,143.47718954086304,152.18586921691895,0.001
150,0.099453986,0.100141406,143.45929622650146,152.22517251968384,0.001
151,0.09932151,0.10000787,143.30235719680786,151.85450315475464,0.001
152,0.09919489,0.099878624,142.73236989974976,151.18169784545898,0.001
153,0.09916809,0.09982501,142.53978729248047,150.7923126220703,0.001
154,0.09915516,0.099795856,142.24050045013428,150.10534524917603,0.001
155,0.09876256,0.099421576,143.11248064041138,151.40875577926636,0.001
156,0.09860858,0.09926823,143.24989318847656,151.3959288597107,0.001
157,0.098496355,0.099162705,142.87880659103394,150.97391605377197,0.001
158,0.09825835,0.09893398,143.23171377182007,151.5963912010193,0.001
159,0.09819331,0.09887902,142.6796793937683,151.162588596344,0.001
160,0.09799614,0.09867758,143.1049108505249,151.2273669242859,0.001
161,0.098036215,0.098708056,142.15598106384277,150.1991629600525,0.001
162,0.09789563,0.09856035,142.00724363327026,150.1815676689148,0.001
163,0.09775001,0.09841283,141.935932636261,149.9886393547058,0.001
164,0.09765207,0.0983278,141.63986444473267,149.71518516540527,0.001
165,0.09767228,0.09833062,141.00085496902466,148.9059567451477,0.001
166,0.097573735,0.09823958,140.6246304512024,148.75034093856812,0.001
167,0.09742579,0.098092556,140.7942533493042,148.78822565078735,0.001
168,0.09734189,0.098007254,140.50194025039673,148.58416318893433,0.001
169,0.09715555,0.09781771,140.60580730438232,148.60777854919434,0.001
170,0.09687233,0.09752593,141.43911600112915,149.23250675201416,0.001
171,0.09683507,0.097492605,140.89325666427612,148.77164363861084,0.001
172,0.09655326,0.097227074,141.28519296646118,149.40142631530762,0.001
173,0.09638797,0.09707627,140.8972144126892,149.27505254745483,0.001
174,0.09652373,0.09718946,140.05038738250732,148.05331230163574,0.001
175,0.09639163,0.09707134,139.8795485496521,147.7549433708191,0.001
176,0.096224435,0.0969066,139.72541093826294,147.84504175186157,0.001
177,0.096225865,0.09690777,139.28290605545044,147.28024005889893,0.001
178,0.09601203,0.09670276,139.43077325820923,147.6210594177246,0.001
179,0.09588792,0.09657642,139.24927711486816,147.6913571357727,0.001
180,0.0957546,0.096452415,139.0331745147705,147.44569063186646,0.001
181,0.0957521,0.09646086,138.32942247390747,146.90210819244385,0.001
182,0.09562206,0.096347,137.99617290496826,146.7541217803955,0.001
183,0.09563477,0.0963396,137.58643865585327,146.32582664489746,0.001
184,0.09564399,0.096333325,137.23599910736084,145.98037004470825,0.001
185,0.09539715,0.0961013,137.22188472747803,146.20108604431152,0.001
186,0.09545588,0.09615354,136.805522441864,145.60681581497192,0.001
187,0.0952318,0.09592091,136.95950508117676,146.05249166488647,0.001
188,0.09498428,0.09569271,137.03253269195557,146.1469054222107,0.001
189,0.09511182,0.095831014,135.92298030853271,144.83314752578735,0.001
190,0.094653085,0.09541966,136.2689733505249,145.93183994293213,0.001
191,0.094744794,0.09550998,135.6690764427185,145.07770538330078,0.001
192,0.094712876,0.09547569,135.10065078735352,144.35213804244995,0.001
193,0.094722494,0.09547054,134.5688819885254,143.99394989013672,0.001
194,0.094647415,0.095405824,134.65944528579712,144.0975546836853,0.001
195,0.094883695,0.09563131,133.48265886306763,143.04872751235962,0.001
196,0.09442726,0.09518493,134.15313959121704,144.08272504806519,0.001
197,0.09439053,0.09516675,133.60517024993896,143.64736080169678,0.001
198,0.09425846,0.095049374,133.46195220947266,143.43743324279785,0.001
199,0.094549574,0.09530812,132.63514041900635,142.47132539749146,0.001
200,0.09437509,0.095152654,132.2732925415039,142.27157831192017,0.001
201,0.09455712,0.09530733,131.64185285568237,141.56692028045654,0.001
202,0.09422099,0.09498765,132.15540647506714,142.1534538269043,0.001
203,0.09405747,0.09483196,132.1895956993103,142.33256578445435,0.001
204,0.0936526,0.094444394,132.8241467475891,143.18115711212158,0.001
205,0.093907796,0.09465615,131.6702961921692,141.94445610046387,0.001
206,0.0934453,0.09421947,132.30748176574707,142.74098873138428,0.001
207,0.09378249,0.09455642,131.34433031082153,141.67214632034302,0.001
208,0.09352971,0.0943071,131.84452056884766,142.22759008407593,0.001
209,0.09330791,0.0940642,132.1553349494934,142.6488995552063,0.001
210,0.093022436,0.09379479,132.28439092636108,143.04403066635132,0.001
211,0.0930926,0.09384442,132.0410966873169,142.50918626785278,0.001
212,0.09273967,0.09350374,132.15457201004028,143.10370683670044,0.001
213,0.092799634,0.09355683,131.94633722305298,142.80831813812256,0.001
214,0.09249851,0.093248844,131.9149374961853,143.28163862228394,0.001
215,0.09253571,0.09331156,131.7432999610901,142.84828901290894,0.001
216,0.092270024,0.09303786,131.69623613357544,143.17747354507446,0.001
217,0.0922693,0.09303143,131.40674829483032,142.83572435379028,0.001
218,0.09216286,0.09294556,131.328547000885,142.62962341308594,0.001
219,0.092056476,0.092834085,131.33466243743896,142.9521918296814,0.001
220,0.091830686,0.09260054,131.5593123435974,143.04487705230713,0.001
