Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 1.1e-06, 0.48, 0.36, 1, 1.64901e-06, -9.62069e-05
5, 1.1e-06, 0.48, 0.44, 0, 1.69215e-06, 0.0101895
5, 1.1e-06, 0.48, 0.44, 1, 1.62946e-06, -8.7893e-05
5, 1.1e-06, 0.48, 0.52, 0, 1.68955e-06, 0.00674732
5, 1.1e-06, 0.48, 0.52, 1, 1.62704e-06, -6.09521e-05
5, 1.1e-06, 0.48, 0.6, 0, 1.69215e-06, 0.00395619
5, 1.1e-06, 0.48, 0.6, 1, 1.61747e-06, -4.41444e-05
5, 1.1e-06, 0.56, 0.2, 0, 1.7e-06, 0.0236516
5, 1.1e-06, 0.56, 0.2, 1, 1.61985e-06, -0.000160335
5, 1.1e-06, 0.56, 0.28, 0, 1.69738e-06, 0.0206265
5, 1.1e-06, 0.56, 0.28, 1, 1.63917e-06, -0.000116229
5, 1.1e-06, 0.56, 0.36, 0, 1.69215e-06, 0.0181117
5, 1.1e-06, 0.56, 0.36, 1, 1.67923e-06, -7.43381e-05
5, 1.1e-06, 0.56, 0.44, 0, 1.69215e-06, 0.0153912
5, 1.1e-06, 0.56, 0.44, 1, 1.68955e-06, -4.80484e-05
5, 1.1e-06, 0.56, 0.52, 0, 1.69476e-06, 0.0120999
5, 1.1e-06, 0.56, 0.52, 1, 1.66398e-06, -4.23167e-05
5, 1.1e-06, 0.56, 0.6, 0, 1.69738e-06, 0.00898264
5, 1.1e-06, 0.56, 0.6, 1, 1.69738e-06, -3.97401e-05
5, 1.1e-06, 0.64, 0.2, 0, 1.69738e-06, 0.0246283
5, 1.1e-06, 0.64, 0.2, 1, 1.61509e-06, -0.000158013
5, 1.1e-06, 0.64, 0.28, 0, 1.69476e-06, 0.0228009
5, 1.1e-06, 0.64, 0.28, 1, 1.62946e-06, -8.09655e-05
5, 1.1e-06, 0.64, 0.36, 0, 1.69476e-06, 0.0207501
5, 1.1e-06, 0.64, 0.36, 1, 1.69476e-06, -9.52904e-05
5, 1.1e-06, 0.64, 0.44, 0, 1.69738e-06, 0.0181704
5, 1.1e-06, 0.64, 0.44, 1, 1.67157e-06, -4.49096e-05
5, 1.1e-06, 0.64, 0.52, 0, 1.69738e-06, 0.0151741
5, 1.1e-06, 0.64, 0.52, 1, 1.61747e-06, -7.52796e-05
5, 1.1e-06, 0.64, 0.6, 0, 1.69476e-06, 0.0119757
5, 1.1e-06, 0.64, 0.6, 1, 1.63917e-06, -3.96208e-05
5, 1.1e-06, 0.72, 0.2, 0, 1.69738e-06, 0.0242995
5, 1.1e-06, 0.72, 0.2, 1, 1.64901e-06, -0.000132958
5, 1.1e-06, 0.72, 0.28, 0, 1.69738e-06, 0.0224872
5, 1.1e-06, 0.72, 0.28, 1, 1.66398e-06, -8.43839e-05
5, 1.1e-06, 0.72, 0.36, 0, 1.69738e-06, 0.0204925
5, 1.1e-06, 0.72, 0.36, 1, 1.69215e-06, -7.58843e-05
5, 1.1e-06, 0.72, 0.44, 0, 1.3e-06, 0.021948
5, 1.1e-06, 0.72, 0.44, 1, 1.6343e-06, -7.13193e-05
5, 1.1e-06, 0.72, 0.52, 0, 1.3e-06, 0.034282
5, 1.1e-06, 0.72, 0.52, 1, 1.65148e-06, -5.69886e-05
5, 1.1e-06, 0.72, 0.6, 0, 1.3e-06, 0.041607
5, 1.1e-06, 0.72, 0.6, 1, 1.65896e-06, -5.16845e-05
5, 1.1e-06, 0.8, 0.2, 0, 1.3e-06, 0.0298384
5, 1.1e-06, 0.8, 0.2, 1, 1.61509e-06, -7.69072e-05
5, 1.1e-06, 0.8, 0.28, 0, 1.3e-06, 0.0363798
5, 1.1e-06, 0.8, 0.28, 1, 1.69215e-06, -6.93953e-05
5, 1.1e-06, 0.8, 0.36, 0, 1.3e-06, 0.0451854
5, 1.1e-06, 0.8, 0.36, 1, 1.61509e-06, -6.69051e-05
5, 1.1e-06, 0.8, 0.44, 0, 1.30154e-06, 0.0535346
