Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 6.42857e-07, 0.571429, 0.6, 0, 1.4e-06, 0.0509494
5, 6.42857e-07, 0.571429, 0.6, 1, 1.47178e-06, -4.75515e-05
5, 6.42857e-07, 0.628571, 0.2, 0, 1.4e-06, 0.00286363
5, 6.42857e-07, 0.628571, 0.2, 1, 1.7e-06, -0.000582145
5, 6.42857e-07, 0.628571, 0.257143, 0, 1.4e-06, 0.00340393
5, 6.42857e-07, 0.628571, 0.257143, 1, 1.62143e-06, -0.001101
5, 6.42857e-07, 0.628571, 0.314286, 0, 1.4e-06, 0.00429919
5, 6.42857e-07, 0.628571, 0.314286, 1, 1.69453e-06, -0.000891537
5, 6.42857e-07, 0.628571, 0.371429, 0, 1.4e-06, 0.00731774
5, 6.42857e-07, 0.628571, 0.371429, 1, 1.4e-06, -0.000395269
5, 6.42857e-07, 0.628571, 0.428571, 0, 1.4e-06, 0.0165776
5, 6.42857e-07, 0.628571, 0.428571, 1, 1.40874e-06, -0.000206236
5, 6.42857e-07, 0.628571, 0.485714, 0, 1.4e-06, 0.0383032
5, 6.42857e-07, 0.628571, 0.485714, 1, 1.40498e-06, -5.85833e-05
5, 6.42857e-07, 0.628571, 0.542857, 0, 1.4e-06, 0.0808058
5, 6.42857e-07, 0.628571, 0.542857, 1, 1.43565e-06, -3.66607e-05
5, 6.42857e-07, 0.628571, 0.6, 0, 1.4e-06, 0.1527
5, 6.42857e-07, 0.628571, 0.6, 1, 1.52436e-06, -6.1569e-05
5, 6.42857e-07, 0.685714, 0.2, 0, 1.4e-06, 0.0126315
5, 6.42857e-07, 0.685714, 0.2, 1, 1.67121e-06, -0.000672948
5, 6.42857e-07, 0.685714, 0.257143, 0, 1.4e-06, 0.0195681
5, 6.42857e-07, 0.685714, 0.257143, 1, 1.67121e-06, -0.000823772
5, 6.42857e-07, 0.685714, 0.314286, 0, 1.4e-06, 0.0321359
5, 6.42857e-07, 0.685714, 0.314286, 1, 1.4e-06, -0.000428673
5, 6.42857e-07, 0.685714, 0.371429, 0, 1.4e-06, 0.0524937
5, 6.42857e-07, 0.685714, 0.371429, 1, 1.4e-06, -0.000344613
5, 6.42857e-07, 0.685714, 0.428571, 0, 1.4e-06, 0.0826644
5, 6.42857e-07, 0.685714, 0.428571, 1, 1.40749e-06, -0.000112539
5, 6.42857e-07, 0.685714, 0.485714, 0, 1.4e-06, 0.12748
5, 6.42857e-07, 0.685714, 0.485714, 1, 1.4e-06, -0.000125095
5, 6.42857e-07, 0.685714, 0.542857, 0, 1.4e-06, 0.179823
5, 6.42857e-07, 0.685714, 0.542857, 1, 1.4e-06, -5.97318e-05
5, 6.42857e-07, 0.685714, 0.6, 0, 1.4e-06, 0.241324
5, 6.42857e-07, 0.685714, 0.6, 1, 1.45015e-06, -4.66442e-05
5, 6.42857e-07, 0.742857, 0.2, 0, 1.4e-06, 0.066646
5, 6.42857e-07, 0.742857, 0.2, 1, 1.4e-06, -0.00110627
5, 6.42857e-07, 0.742857, 0.257143, 0, 1.4e-06, 0.0903107
5, 6.42857e-07, 0.742857, 0.257143, 1, 1.4e-06, -0.000410299
5, 6.42857e-07, 0.742857, 0.314286, 0, 1.4e-06, 0.119475
5, 6.42857e-07, 0.742857, 0.314286, 1, 1.4e-06, -0.000146385
5, 6.42857e-07, 0.742857, 0.371429, 0, 1.4e-06, 0.156502
5, 6.42857e-07, 0.742857, 0.371429, 1, 1.41506e-06, -0.000106724
5, 6.42857e-07, 0.742857, 0.428571, 0, 1.4e-06, 0.193794
5, 6.42857e-07, 0.742857, 0.428571, 1, 1.42657e-06, -0.000138712
5, 6.42857e-07, 0.742857, 0.485714, 0, 1.4e-06, 0.2316
5, 6.42857e-07, 0.742857, 0.485714, 1, 1.43304e-06, -6.94032e-05
5, 6.42857e-07, 0.742857, 0.542857, 0, 1.4e-06, 0.266499
5, 6.42857e-07, 0.742857, 0.542857, 1, 1.4422e-06, -2.03386e-05
5, 6.42857e-07, 0.742857, 0.6, 0, 1.40124e-06, 0.289063
5, 6.42857e-07, 0.742857, 0.6, 1, 1.45684e-06, -1.91282e-05
5, 6.42857e-07, 0.8, 0.2, 0, 1.4e-06, 0.190492
5, 6.42857e-07, 0.8, 0.2, 1, 1.4e-06, -0.000164064
5, 6.42857e-07, 0.8, 0.257143, 0, 1.4e-06, 0.216799
5, 6.42857e-07, 0.8, 0.257143, 1, 1.41633e-06, -0.000113934
5, 6.42857e-07, 0.8, 0.314286, 0, 1.4e-06, 0.242627
5, 6.42857e-07, 0.8, 0.314286, 1, 1.42915e-06, -0.000110189
5, 6.42857e-07, 0.8, 0.371429, 0, 1.4e-06, 0.266085
5, 6.42857e-07, 0.8, 0.371429, 1, 1.43695e-06, -8.17974e-05
5, 6.42857e-07, 0.8, 0.428571, 0, 1.40124e-06, 0.275025
5, 6.42857e-07, 0.8, 0.428571, 1, 1.44749e-06, -4.83583e-05
5, 6.42857e-07, 0.8, 0.485714, 0, 1.40249e-06, 0.283168
5, 6.42857e-07, 0.8, 0.485714, 1, 1.41379e-06, -3.40353e-05
5, 6.42857e-07, 0.8, 0.542857, 0, 1.40624e-06, 0.285684
5, 6.42857e-07, 0.8, 0.542857, 1, 1.46496e-06, -2.06365e-05
5, 6.42857e-07, 0.8, 0.6, 0, 1.41e-06, 0.278823
5, 6.42857e-07, 0.8, 0.6, 1, 1.51704e-06, -3.89165e-05
5, 7.85714e-07, 0.4, 0.2, 0, 1.43565e-06, 0.155292
5, 7.85714e-07, 0.4, 0.2, 1, 1.40749e-06, -0.000237817
5, 7.85714e-07, 0.4, 0.257143, 0, 1.44749e-06, 0.168281
5, 7.85714e-07, 0.4, 0.257143, 1, 1.43565e-06, -7.40538e-05
5, 7.85714e-07, 0.4, 0.314286, 0, 1.45684e-06, 0.181776
5, 7.85714e-07, 0.4, 0.314286, 1, 1.43695e-06, -9.43728e-05
5, 7.85714e-07, 0.4, 0.371429, 0, 1.46768e-06, 0.188831
5, 7.85714e-07, 0.4, 0.371429, 1, 1.43957e-06, -7.99696e-05
5, 7.85714e-07, 0.4, 0.428571, 0, 1.47729e-06, 0.180956
5, 7.85714e-07, 0.4, 0.428571, 1, 1.69817e-06, -0.000106687
5, 7.85714e-07, 0.4, 0.485714, 0, 1.48843e-06, 0.148385
5, 7.85714e-07, 0.4, 0.485714, 1, 1.53923e-06, -8.60411e-05
5, 7.85714e-07, 0.4, 0.542857, 0, 1.49832e-06, 0.0936706
