Theta,Pitch,Duty Cycle,Fill Factor,Mode,Lambda,Transmission
14,7.50E-07,0.65,0.25,1,1.53612E-06,-0.137791
14,7.50E-07,0.65,0.25,1,1.53397E-06,-0.122057
14,7.50E-07,0.65,0.25,1,1.53184E-06,-0.107057
14,7.50E-07,0.65,0.25,1,1.5297E-06,-0.0930065
14,7.50E-07,0.65,0.25,1,1.52758E-06,-0.0800469
14,7.50E-07,0.65,0.25,1,1.52546E-06,-0.0682482
14,7.50E-07,0.65,0.25,1,1.52335E-06,-0.0576191
14,7.50E-07,0.65,0.25,1,1.52124E-06,-0.0481236
14,7.50E-07,0.65,0.25,1,1.51914E-06,-0.0397012
14,7.50E-07,0.65,0.25,1,1.51704E-06,-0.0322823
14,7.50E-07,0.65,0.25,1,1.51495E-06,-0.0257998
14,7.50E-07,0.65,0.25,1,1.51287E-06,-0.0201947
14,7.50E-07,0.65,0.25,1,1.51079E-06,-0.0154151
14,7.50E-07,0.65,0.25,1,1.50871E-06,-0.0114135
14,7.50E-07,0.65,0.25,1,1.50665E-06,-0.0081409
14,7.50E-07,0.65,0.25,1,1.50458E-06,-0.00554267
14,7.50E-07,0.65,0.25,1,1.50253E-06,-0.00355615
14,7.50E-07,0.65,0.25,1,1.50048E-06,-0.00211071
14,7.50E-07,0.65,0.25,1,1.49843E-06,-0.00112994
14,7.50E-07,0.65,0.25,1,1.49639E-06,-0.000535264
14,7.50E-07,0.65,0.25,1,1.49436E-06,-0.000249698
14,7.50E-07,0.65,0.25,1,1.49233E-06,-0.000201117
14,7.50E-07,0.65,0.25,1,1.49031E-06,-0.00032434
14,7.50E-07,0.65,0.25,1,1.48829E-06,-0.000562079
14,7.50E-07,0.65,0.25,1,1.48628E-06,-0.000864986
14,7.50E-07,0.65,0.25,1,1.48427E-06,-0.00119128
14,7.50E-07,0.65,0.25,1,1.48227E-06,-0.00150638
14,7.50E-07,0.65,0.25,1,1.48028E-06,-0.00178282
14,7.50E-07,0.65,0.25,1,1.47829E-06,-0.00200045
14,7.50E-07,0.65,0.25,1,1.4763E-06,-0.00214674
14,7.50E-07,0.65,0.25,1,1.47432E-06,-0.00221688
14,7.50E-07,0.65,0.25,1,1.47235E-06,-0.0022134
14,7.50E-07,0.65,0.25,1,1.47038E-06,-0.00214512
14,7.50E-07,0.65,0.25,1,1.46841E-06,-0.00202551
14,7.50E-07,0.65,0.25,1,1.46646E-06,-0.00187067
14,7.50E-07,0.65,0.25,1,1.4645E-06,-0.00169729
14,7.50E-07,0.65,0.25,1,1.46255E-06,-0.0015208
14,7.50E-07,0.65,0.25,1,1.46061E-06,-0.0013542
14,7.50E-07,0.65,0.25,1,1.45867E-06,-0.00120745
14,7.50E-07,0.65,0.25,1,1.45674E-06,-0.00108746
14,7.50E-07,0.65,0.25,1,1.45481E-06,-0.000998484
14,7.50E-07,0.65,0.25,1,1.45289E-06,-0.000942634
14,7.50E-07,0.65,0.25,1,1.45097E-06,-0.000920347
14,7.50E-07,0.65,0.25,1,1.44906E-06,-0.000930621
14,7.50E-07,0.65,0.25,1,1.44715E-06,-0.000971057
14,7.50E-07,0.65,0.25,1,1.44525E-06,-0.00103779
14,7.50E-07,0.65,0.25,1,1.44335E-06,-0.00112543
14,7.50E-07,0.65,0.25,1,1.44146E-06,-0.00122721
14,7.50E-07,0.65,0.25,1,1.43957E-06,-0.00133537
14,7.50E-07,0.65,0.25,1,1.43769E-06,-0.00144177
14,7.50E-07,0.65,0.25,1,1.43581E-06,-0.00153862
14,7.50E-07,0.65,0.25,1,1.43394E-06,-0.00161924
14,7.50E-07,0.65,0.25,1,1.43207E-06,-0.00167861
14,7.50E-07,0.65,0.25,1,1.43021E-06,-0.0017136
14,7.50E-07,0.65,0.25,1,1.42835E-06,-0.00172299
14,7.50E-07,0.65,0.25,1,1.4265E-06,-0.00170714
14,7.50E-07,0.65,0.25,1,1.42465E-06,-0.0016676
14,7.50E-07,0.65,0.25,1,1.42281E-06,-0.00160668
14,7.50E-07,0.65,0.25,1,1.42097E-06,-0.00152721
14,7.50E-07,0.65,0.25,1,1.41914E-06,-0.00143243
14,7.50E-07,0.65,0.25,1,1.41731E-06,-0.00132602
14,7.50E-07,0.65,0.25,1,1.41548E-06,-0.00121226
14,7.50E-07,0.65,0.25,1,1.41366E-06,-0.00109612
14,7.50E-07,0.65,0.25,1,1.41185E-06,-0.000983157
14,7.50E-07,0.65,0.25,1,1.41004E-06,-0.000879306
14,7.50E-07,0.65,0.25,1,1.40823E-06,-0.000790364
14,7.50E-07,0.65,0.25,1,1.40643E-06,-0.000721414
14,7.50E-07,0.65,0.25,1,1.40463E-06,-0.000676206
14,7.50E-07,0.65,0.25,1,1.40284E-06,-0.000656661
14,7.50E-07,0.65,0.25,1,1.40105E-06,-0.000662593
14,7.50E-07,0.65,0.25,1,1.39927E-06,-0.000691709
14,7.50E-07,0.65,0.25,1,1.39749E-06,-0.000739895
14,7.50E-07,0.65,0.25,1,1.39572E-06,-0.000801709
14,7.50E-07,0.65,0.25,1,1.39395E-06,-0.000871014
14,7.50E-07,0.65,0.25,1,1.39218E-06,-0.000941624
14,7.50E-07,0.65,0.25,1,1.39042E-06,-0.00100788
14,7.50E-07,0.65,0.25,1,1.38866E-06,-0.0010651
14,7.50E-07,0.65,0.25,1,1.38691E-06,-0.00110984
14,7.50E-07,0.65,0.25,1,1.38517E-06,-0.00114003
14,7.50E-07,0.65,0.25,1,1.38342E-06,-0.00115493
14,7.50E-07,0.65,0.25,1,1.38168E-06,-0.00115503
14,7.50E-07,0.65,0.25,1,1.37995E-06,-0.00114183
14,7.50E-07,0.65,0.25,1,1.37822E-06,-0.00111758
14,7.50E-07,0.65,0.25,1,1.37649E-06,-0.00108497
14,7.50E-07,0.65,0.25,1,1.37477E-06,-0.00104686
14,7.50E-07,0.65,0.25,1,1.37306E-06,-0.00100597
14,7.50E-07,0.65,0.25,1,1.37134E-06,-0.000964598
14,7.50E-07,0.65,0.25,1,1.36964E-06,-0.000924435
14,7.50E-07,0.65,0.25,1,1.36793E-06,-0.000886485
14,7.50E-07,0.65,0.25,1,1.36623E-06,-0.000851067
14,7.50E-07,0.65,0.25,1,1.36454E-06,-0.00081794
14,7.50E-07,0.65,0.25,1,1.36284E-06,-0.000786513
14,7.50E-07,0.65,0.25,1,1.36116E-06,-0.000756091
14,7.50E-07,0.65,0.25,1,1.35947E-06,-0.000726112
14,7.50E-07,0.65,0.25,1,1.3578E-06,-0.000696309
14,7.50E-07,0.65,0.25,1,1.35612E-06,-0.000666785
14,7.50E-07,0.65,0.25,1,1.35445E-06,-0.000637965
14,7.50E-07,0.65,0.25,1,1.35278E-06,-0.000610469
14,7.50E-07,0.65,0.25,1,1.35112E-06,-0.000584928
14,7.50E-07,0.65,0.25,1,1.34946E-06,-0.000561815
14,7.50E-07,0.65,0.25,1,1.34781E-06,-0.000541325
14,7.50E-07,0.65,0.25,1,1.34616E-06,-0.00052335
14,7.50E-07,0.65,0.25,1,1.34451E-06,-0.000507552
14,7.50E-07,0.65,0.25,1,1.34287E-06,-0.000493509
14,7.50E-07,0.65,0.25,1,1.34123E-06,-0.000480892
14,7.50E-07,0.65,0.25,1,1.3396E-06,-0.000469607
14,7.50E-07,0.65,0.25,1,1.33797E-06,-0.00045987
14,7.50E-07,0.65,0.25,1,1.33634E-06,-0.00045216
14,7.50E-07,0.65,0.25,1,1.33472E-06,-0.000447085
14,7.50E-07,0.65,0.25,1,1.3331E-06,-0.000445174
14,7.50E-07,0.65,0.25,1,1.33149E-06,-0.000446658
14,7.50E-07,0.65,0.25,1,1.32988E-06,-0.000451315
14,7.50E-07,0.65,0.25,1,1.32827E-06,-0.000458424
14,7.50E-07,0.65,0.25,1,1.32667E-06,-0.000466853
14,7.50E-07,0.65,0.25,1,1.32507E-06,-0.000475272
14,7.50E-07,0.65,0.25,1,1.32347E-06,-0.00048244
14,7.50E-07,0.65,0.25,1,1.32188E-06,-0.000487492
14,7.50E-07,0.65,0.25,1,1.32029E-06,-0.000490143
14,7.50E-07,0.65,0.25,1,1.31871E-06,-0.000490755
14,7.50E-07,0.65,0.25,1,1.31713E-06,-0.000490231
14,7.50E-07,0.65,0.25,1,1.31555E-06,-0.000489764
14,7.50E-07,0.65,0.25,1,1.31398E-06,-0.000490495
14,7.50E-07,0.65,0.25,1,1.31241E-06,-0.000493178
14,7.50E-07,0.65,0.25,1,1.31085E-06,-0.000497939
14,7.50E-07,0.65,0.25,1,1.30929E-06,-0.000504199
14,7.50E-07,0.65,0.25,1,1.30773E-06,-0.000510805
14,7.50E-07,0.65,0.25,1,1.30618E-06,-0.000516327
14,7.50E-07,0.65,0.25,1,1.30463E-06,-0.000519463
14,7.50E-07,0.65,0.25,1,1.30308E-06,-0.000519441
14,7.50E-07,0.65,0.25,1,1.30154E-06,-0.000516318
14,7.50E-07,0.65,0.25,1,0.0000013,-0.000511081
14.1111,7.50E-07,0.65,0.25,0,0.0000017,0.00100156
14.1111,7.50E-07,0.65,0.25,0,1.69738E-06,0.000792933
14.1111,7.50E-07,0.65,0.25,0,1.69476E-06,0.000577029
14.1111,7.50E-07,0.65,0.25,0,1.69215E-06,0.000374396
14.1111,7.50E-07,0.65,0.25,0,1.68955E-06,0.000207979
14.1111,7.50E-07,0.65,0.25,0,1.68696E-06,0.000102331
14.1111,7.50E-07,0.65,0.25,0,1.68437E-06,8.27E-05
14.1111,7.50E-07,0.65,0.25,0,1.6818E-06,0.000173856
14.1111,7.50E-07,0.65,0.25,0,1.67923E-06,0.000399166
14.1111,7.50E-07,0.65,0.25,0,1.67667E-06,0.00077923
14.1111,7.50E-07,0.65,0.25,0,1.67411E-06,0.001331
14.1111,7.50E-07,0.65,0.25,0,1.67157E-06,0.00206703
14.1111,7.50E-07,0.65,0.25,0,1.66903E-06,0.00299523
